Campaign for Working Families  ,http://votesmart.org/interest-group/1086/campaign-for-working-families,,,,,,,,
CitizenLink  ,http://votesmart.org/interest-group/2368/citizenlink,,,,,,,,
Democrats for Life of America  ,http://votesmart.org/interest-group/1559/democrats-for-life-of-america,,,,,,,,
Emily's List ,http://votesmart.org/interest-group/1189/emilys-list,,,,,,,,
NARAL Pro-Choice America ,http://votesmart.org/interest-group/1016/naral-pro-choice-america,,,,,,,,
National Right to Life Committee ,http://votesmart.org/interest-group/252/national-right-to-life-committee,,,,,,,,
Republican National Coalition for Life PAC ,http://votesmart.org/interest-group/1954/republican-national-coalition-for-life-pac,,,,,,,,
Susan B. Anthony List  ,http://votesmart.org/interest-group/1946/susan-b-anthony-list,,,,,,,,
National Family Planning &amp; Reproductive Health Association ,http://votesmart.org/interest-group/1488/national-family-planning-reproductive-health-association,,,,,,,,
National Organization for Women  ,http://votesmart.org/interest-group/1475/national-organization-for-women,,,,,,,,
Planned Parenthood Action Fund ,http://votesmart.org/interest-group/1578/planned-parenthood-action-fund,,,,,,,,
Population Action International  ,http://votesmart.org/interest-group/412/population-action-international,,,,,,,,
Population Connection  ,http://votesmart.org/interest-group/265/population-connection,,,,,,,,
The Population Institute ,http://votesmart.org/interest-group/131/the-population-institute,,,,,,,,
Women's Campaign Fund  ,http://votesmart.org/interest-group/1910/womens-campaign-fund,,,,,,,,
American Coalition for Ethanol ,http://votesmart.org/interest-group/1211/american-coalition-for-ethanol,,,,,,,,
American Farm Bureau Federation  ,http://votesmart.org/interest-group/611/american-farm-bureau-federation,,,,,,,,
Associated Equipment Distributors  ,http://votesmart.org/interest-group/1789/associated-equipment-distributors,,,,,,,,
Food Policy Action ,http://votesmart.org/interest-group/2171/food-policy-action,,,,,,,,
Grassroots Netroots Alliance ,http://votesmart.org/interest-group/1811/grassroots-netroots-alliance,,,,,,,,
National Association of Wheat Growers  ,http://votesmart.org/interest-group/684/national-association-of-wheat-growers,,,,,,,,
National Council of Agricultural Employers ,http://votesmart.org/interest-group/1705/national-council-of-agricultural-employers,,,,,,,,
National Farmers Organization  ,http://votesmart.org/interest-group/568/national-farmers-organization,,,,,,,,
National Farmers Union ,http://votesmart.org/interest-group/1120/national-farmers-union,,,,,,,,
United Farm Workers of America ,http://votesmart.org/interest-group/2056/united-farm-workers-of-america,,,,,,,,
United Fresh Produce Association ,http://votesmart.org/interest-group/1762/united-fresh-produce-association,,,,,,,,
Vote Hemp  ,http://votesmart.org/interest-group/1184/vote-hemp,,,,,,,,
American Humane Association  ,http://votesmart.org/interest-group/1263/american-humane-association,,,,,,,,
American Society for the Prevention of Cruelty to Animals  ,http://votesmart.org/interest-group/324/american-society-for-the-prevention-of-cruelty-to-animals,,,,,,,,
American Veterinary Medical Association  ,http://votesmart.org/interest-group/2031/american-veterinary-medical-association,,,,,,,,
American Wilderness Coalition  ,http://votesmart.org/interest-group/1081/american-wilderness-coalition,,,,,,,,
Animal Welfare Institute ,http://votesmart.org/interest-group/1574/animal-welfare-institute,,,,,,,,
Big Cat Rescue ,http://votesmart.org/interest-group/1704/big-cat-rescue,,,,,,,,
Born Free USA  ,http://votesmart.org/interest-group/57/born-free-usa,,,,,,,,
Defenders of Wildlife Action Fund  ,http://votesmart.org/interest-group/109/defenders-of-wildlife-action-fund,,,,,,,,
Doris Day Animal League  ,http://votesmart.org/interest-group/644/doris-day-animal-league,,,,,,,,
Food Policy Action ,http://votesmart.org/interest-group/2171/food-policy-action,,,,,,,,
