_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,url,url/_source,url/_title,url/_text,description
,1,sig-crawler,sig-crawler,1,http://votesmart.org/interest-group/956/national-council-of-la-raza,National Council of La Raza,http://www.nclr.org/,,,http://www.nclr.org/,The National Council of La Raza (NCLR)the largest national Hispanic civil rights and advocacy organization in the United Statesworks to improve opportunities for Hispanic Americans. Through its network of nearly 300 affiliated community-based organizations NCLR reaches millions of Hispanics each year in 41 states Puerto Rico and the District of Columbia. To achieve its mission NCLR conducts applied research policy analysis and advocacy providing a Latino perspective in five key areasassets/investments civil rights/immigration education employment and economic status and health. In addition it provides capacity-building assistance to its Affiliates who work at the state and local level to advance opportunities for individuals and families.
,2,sig-crawler,sig-crawler,2,http://votesmart.org/interest-group/1669/national-association-of-elementary-school-principals,National Association of Elementary School Principals,http://www.naesp.org/,,,http://www.naesp.org/,The NAESP Foundation advances excellence innovation and equity in schools by endowing leadership and learning for principals for the benefit of all children.
,3,sig-crawler,sig-crawler,3,http://votesmart.org/interest-group/2155/term-limits-america-political-action-committee,Term Limits America Political Action Committee,http://termlimits.org/,,,http://termlimits.org/,"Term Limits is still known as the largest grassroots movement in American history and US Term Limits (USTL) was and still is the leader of that movement. Term limits have been placed on 15 state legislatures eight of the ten largest cities in America adopted term limits for their city councils and/or mayor and 37 states place term limits on their constitutional officers. American politicians special interests and lobbyists continue to combat term limits as they know term limits force out career politicians who are more concerned with their own gain than the interests of the American people. USTL stands up against this practice. We are the voice of the American citizen. We want a government of the people by the people and for the people not a tyrannical ruling class who care more about deals to benefit themselves than their constituents."
,4,sig-crawler,sig-crawler,4,http://votesmart.org/interest-group/1811/grassroots-netroots-alliance,Grassroots Netroots Alliance,http://grassrootsnetroots.org,,,http://grassrootsnetroots.org,"The GNA is a new nationwide effort to build up a netroots and grassroots army of millions of radical but practical-minded voters and activists."
,5,sig-crawler,sig-crawler,5,http://votesmart.org/interest-group/651/federation-of-american-societies-for-experimental-biology,Federation of American Societies for Experimental Biology,http://www.faseb.org/,,,http://www.faseb.org/,Advance health and welfare by promoting progress and education in biological and biomedical sciences through service to our member societies and collaborative advocacy.
,6,sig-crawler,sig-crawler,6,http://votesmart.org/interest-group/989/national-stone-sand-gravel-association,National Stone Sand & Gravel Association,http://www.nssga.org,,,http://www.nssga.org,"The National Stone Sand and Gravel Association represents the crushed stone sand and gravel--or aggregate--industries. Our members account for 90% of the crushed stone and 70% of the sand and gravel produced annually in the United States. More than three billion tons of aggregate were produced in the U.S. in 2001 at a value of approximately $14.5 billion."
,7,sig-crawler,sig-crawler,7,http://votesmart.org/interest-group/2333/blue-dog-coalition,Blue Dog Coalition,http://bluedogdems.ngpvanhost.com/,,,http://bluedogdems.ngpvanhost.com/,"The Blue Dog Coalition was created in 1995 to represent the commonsense middle of the Democratic Party. Blue Dogs advocate for mainstream American values a commitment to fiscal responsibility and a strong national defense. The name Blue Dog originates from the long-time tradition of referring to a strong Democratic Party supporter as being a Yellow Dog Democrat who would vote for a yellow dog if it was listed on the ballot as a Democrat. Leading up to the 1994 election the founding members of the Blue Dogs felt that they had been choked blue by the extremes of both political parties. "
,8,sig-crawler,sig-crawler,8,http://votesmart.org/interest-group/1466/national-council-of-senior-citizens,National Council of Senior Citizens,,,,,"Organization of autonomous senior citizen groups which support Medicare Social Security national health care housing and other senior issues. Does advocacy on behalf of the elderly." The following ratings are based on the votes the organization considered most important; the numbers reflect the percentage of time the representative voted the organization's preferred position.
,9,sig-crawler,sig-crawler,9,http://votesmart.org/interest-group/1488/national-family-planning-reproductive-health-association,National Family Planning & Reproductive Health Association,http://www.nfprha.org,,,http://www.nfprha.org,"The National Family Planning and Reproductive Health Association (NFPRHA) founded in 1971 is a non-profit membership organization established to assure access to voluntary comprehensive and culturally sensitive family planning and reproductive health care services and to support reproductive freedom for all."
,10,sig-crawler,sig-crawler,10,http://votesmart.org/interest-group/233/financial-executives-international,Financial Executives International,http://www.financialexecutives.org,,,http://www.financialexecutives.org,"We strive to be the eyes and ears of the typical finance officer facing the day-to-day challenge of enhancing his or her shareholders' investment. We help members anticipate and react to change acquire new resources to enhance shareholder value and build the personal skills needed to further their careers. We do this by providing information through diverse forms of communication knowledge of evolving trends and issues and high-quality programs. We help to identify new opportunities for peer networking and provide for effective advocacy through representation before legislators and regulators."
